Rk,Player,PTS,Age,Team,Pos,G,GS,MP,PER,TSp,3PAr,FTr,ORBp,DRBp,TRBp,ASTp,STLp,BLKp,TOVp,USGp,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Mikal Bridges,1427,28,NYK,SF,80,80,3000,14,0.585,0.391,0.097,2.7,7.1,4.9,14.2,1.2,1.3,9.8,19.6,3.6,2,5.5,0.088,0.3,-0.9,-0.6,1.1
2,Josh Hart,1043,29,NYK,SG,76,76,2862,16.5,0.611,0.326,0.268,6.5,22.4,14.6,20.7,2,0.9,15.4,15.3,5.4,3.8,9.2,0.154,1.1,1.8,2.8,3.5
3,Anthony Edwards,2125,23,MIN,SG,77,77,2800,20,0.595,0.501,0.311,2.5,14.8,8.7,20.9,1.5,1.6,12.2,31.4,4.4,3.6,8,0.137,4.3,-0.1,4.2,4.4
4,Devin Booker,1905,28,PHO,SG,74,74,2767,19.3,0.588,0.39,0.342,3.2,8.9,6.1,30.6,1.2,0.5,11.8,29.3,6,0.3,6.3,0.109,2.8,-2.4,0.4,1.6
5,Tyler Herro,1818,25,MIA,SG,76,76,2704,19.5,0.602,0.488,0.235,1.4,14.7,8.1,26.4,1.3,0.6,11.5,28.1,4.4,2.7,7.1,0.126,3.7,-0.7,3,3.4
6,Trae Young,1805,26,ATL,PG,75,75,2703,18.1,0.566,0.465,0.405,1.4,8.3,4.7,46.5,1.6,0.4,18.1,29.6,4.1,1.3,5.4,0.095,3.1,-2.8,0.3,1.6
7,DeMar DeRozan,1686,35,SAC,SF,75,75,2700,18,0.573,0.196,0.342,2,10.2,6.1,18.4,1.1,1.2,6.5,25,5.7,1.4,7.1,0.126,1.3,-1.2,0.1,1.4
8,James Harden,1740,35,LAC,PG,77,77,2698,19.7,0.578,0.52,0.447,2.2,15.9,9.2,36.8,2.1,1.9,18,29.6,3.7,4.2,7.9,0.14,3.3,0.7,4.1,4.1
9,OG Anunoby,1317,27,NYK,PF,73,73,2671,15.4,0.595,0.447,0.222,4.2,10.9,7.6,8.4,2,2.3,8.4,19.7,3.8,2.8,6.6,0.118,0.7,0.1,0.8,1.9
10,Jalen Green,1714,22,HOU,SG,80,80,2661,15.3,0.547,0.462,0.235,1.7,13.3,7.4,15.9,1.3,0.9,11.4,27.3,2.1,3.3,5.4,0.098,1.2,-0.5,0.8,1.9
11,Bam Adebayo,1387,27,MIA,C,77,77,2652,18.6,0.558,0.195,0.294,7.7,23,15.4,20.1,1.8,1.9,11.5,23.6,3.2,4,7.2,0.13,0.8,1,1.8,2.5
12,Christian Braun,1195,23,DEN,SG,77,75,2610,16,0.666,0.275,0.26,4.3,12.2,8.4,9.8,1.5,1.3,8.2,15.9,6,1.8,7.8,0.143,0.8,-0.6,0.3,1.5
13,Shai Gilgeous-Alexander,2484,26,OKC,PG,76,76,2598,30.7,0.637,0.263,0.404,2.8,12.7,7.8,31.4,2.4,3,8.6,34.8,12,4.8,16.7,0.309,8.8,2.6,11.4,8.8
14,Jayson Tatum,1916,26,BOS,PF,71,71,2592,21.8,0.584,0.496,0.303,2,23.9,12.9,26.9,1.5,1.4,11.3,31.3,5.2,4.1,9.3,0.172,4.5,0.8,5.3,4.7
15,Jaden McDaniels,981,24,MIN,PF,80,80,2561,13.4,0.564,0.367,0.153,5.6,14.5,10.1,9.1,2.1,2.6,9.3,16.2,2.5,3.8,6.3,0.118,-1.3,1.4,0.1,1.4
16,Keegan Murray,927,24,SAC,PF,74,74,2556,12,0.556,0.548,0.087,6.2,15.3,10.8,5.5,1.1,2.6,6.6,15,2.4,2,4.3,0.082,-0.8,-0.9,-1.7,0.2
17,Pascal Siakam,1578,30,IND,PF,78,78,2548,19.2,0.599,0.274,0.261,5.9,17.7,11.8,15.6,1.3,1.5,7.6,24.3,5,2.5,7.5,0.141,2.1,-0.5,1.7,2.4
18,Ivica Zubac,1301,27,LAC,C,78,78,2546,22.3,0.638,0,0.257,13.2,30.1,21.7,13,1,3.5,11,19.6,6.7,4.6,11.3,0.213,2.2,0.8,3,3.2
19,Derrick White,1229,30,BOS,SG,75,75,2539,16.5,0.604,0.722,0.17,2.8,11.7,7.3,20,1.4,2.8,11.2,19.8,5,3.2,8.2,0.155,2.6,0.7,3.4,3.5
20,Zach LaVine,1682,29,2TM,SF,72,72,2535,17.3,0.641,0.436,0.236,0.9,12.1,6.6,18.4,1.1,0.4,13.5,25.3,3.6,1.3,4.9,0.092,2.3,-1.6,0.7,1.7
21,Michael Porter Jr.,1372,21,ATL,SG,75,75,2534,15.6,0.547,0.253,0.151,5.1,14.1,9.5,17.8,4.2,1.9,13.6,18.2,1.3,3.6,4.9,0.092,-1.1,2.6,1.4,2.2
22,Dyson Daniels,1065,26,DEN,SF,75,75,2534,16.3,0.617,0.468,0.185,6.2,16,11.3,8.9,0.9,1.3,8.4,20.3,4.6,1.7,6.2,0.118,1.6,-1.8,-0.1,1.2
23,Brook Lopez,1026,36,MIL,C,79,79,2521,14.7,0.624,0.485,0.176,5,11.7,8.5,7.9,1,5.4,9.3,15.8,3.6,2.9,6.5,0.124,0.4,0.4,0.8,1.8
24,Karl-Anthony Towns,1759,26,LAL,SG,72,72,2517,18.1,0.614,0.514,0.356,2.8,11.4,7.2,24.8,1.5,0.8,12.7,23.6,5.5,2,7.5,0.144,2.4,-0.5,1.9,2.5
25,Austin Reaves,1452,29,NYK,C,72,72,2517,23.4,0.63,0.278,0.337,9.8,31.9,21,13.7,1.4,1.8,12.1,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5
26,Nikola Jokić,2027,29,DEN,C,68,68,2499,32.2,0.663,0.243,0.331,9.1,28.2,19.1,44.2,2.4,1.6,12.8,29.7,12.4,3.6,16.1,0.308,10,3.3,13.3,9.6
